code,title,size,image_url,torrent_url,tags,actresses,date,page_url
C2970,人妻家政婦03,5.0 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2970/140c2970pl.jpg,https://onejav.com/torrent/c2970/download/56440040/onejav.com_c2970.torrent,"Married Woman, Mature Woman, Naked apron",唐木竹史,2026-05-28,https://onejav.com/torrent/c2970
C2968,うちの妻・Y梨（34）を寝取ってください133,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2968/140c2968pl.jpg,https://onejav.com/torrent/c2968/download/05127466/onejav.com_c2968.torrent,"Cuckold, Married Woman",唐木竹史,2026-05-13,https://onejav.com/torrent/c2968
C2957,令和セックス事情 裸の履歴書005,5.2 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2957/140c2957pl.jpg,https://onejav.com/torrent/c2957/download/10474442/onejav.com_c2957.torrent,"Amateur, POV, Squirting",唐木竹史,2026-04-13,https://onejav.com/torrent/c2957
C2960,追憶 湯けむりの旅で再会した人妻たちの記録［四］,10.5 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2960/140c2960pl.jpg,https://onejav.com/torrent/c2960/download/04794219/onejav.com_c2960.torrent,"4HR+, Affair, Best, Omnibus, Married Woman",唐木竹史,2026-03-22,https://onejav.com/torrent/c2960
C2947,うちの妻・Y乃（48）を寝取ってください130,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2947/140c2947pl.jpg,https://onejav.com/torrent/c2947/download/91779188/onejav.com_c2947.torrent,"Cuckold, Married Woman",唐木竹史,2026-02-08,https://onejav.com/torrent/c2947
C2945,寝取られ人妻 湯けむりの旅31,6.6 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2945/140c2945pl.jpg,https://onejav.com/torrent/c2945/download/52386675/onejav.com_c2945.torrent,"Cuckold, Hot Spring, Married Woman",唐木竹史,2026-01-26,https://onejav.com/torrent/c2945
C2944,うちの妻・N子（42）を寝取ってください129,6.2 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2944/140c2944pl.jpg,https://onejav.com/torrent/c2944/download/63354831/onejav.com_c2944.torrent,"Cuckold, Married Woman",唐木竹史,2026-01-14,https://onejav.com/torrent/c2944
C2943,うちの妻・W奈（28）を寝取ってください128,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2943/140c2943pl.jpg,https://onejav.com/torrent/c2943/download/64585926/onejav.com_c2943.torrent,"Cuckold, Married Woman",唐木竹史,2025-12-29,https://onejav.com/torrent/c2943
C2941,過激裏オプ交渉 個人撮影会008,4.6 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2941/140c2941pl.jpg,https://onejav.com/torrent/c2941/download/84750899/onejav.com_c2941.torrent,"Amateur, Cosplay, Masturbation",唐木竹史,2025-12-14,https://onejav.com/torrent/c2941
C2934,うちの妻・S百合（25）を寝取ってください127,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/140c2934/140c2934pl.jpg,https://onejav.com/torrent/c2934/download/29071801/onejav.com_c2934.torrent,"Cuckold, Married Woman",唐木竹史,2025-11-01,https://onejav.com/torrent/c2934
