code,title,size,image_url,torrent_url,tags,actresses,date,page_url
GAJK033,蔵の中で緊縛調教される女子校生 水泳大会で会場に近い祖父宅に滞在する女学生が誕生日祝いと称した縄調教に堕ちていく… 五芭,6.0 GB,https://pics.dmm.co.jp/mono/movie/adult/gajk033/gajk033pl.jpg,https://onejav.com/torrent/gajk033/download/27573986/onejav.com_gajk033.torrent,"Confinement, Restraints, Sailor Suit, School Girls, Solowork",五芭,2026-03-28,https://onejav.com/torrent/gajk033
HALT079,無職のボクの家に定期的に来て世話焼きしてくれる幼馴染の無防備な黒パンスト越しの色白美尻に我慢できず何度も中出ししてしまった 五芭,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/halt079/halt079pl.jpg,https://onejav.com/torrent/halt079/download/09843739/onejav.com_halt079.torrent,"Butt, Childhood Friend, Creampie, Leg Fetish, Pantyhose, Solowork",五芭,2026-03-21,https://onejav.com/torrent/halt079
BBAN578,きっとキミは運命の人。2人で168回絶頂しないと帰れません...そんな非日常がくれた濃密な時間と本当の愛。 五芭 赤名いと,10.1 GB,https://pics.dmm.co.jp/mono/movie/adult/bban578/bban578pl.jpg,https://onejav.com/torrent/bban578/download/50868256/onejav.com_bban578.torrent,"4HR+, Beautiful Girl, Breasts, Cosplay, Lesbian Kiss","五芭, 赤名いと",2026-03-06,https://onejav.com/torrent/bban578
HBAD728,ねっとりフェラでザーメンを搾り取ってくるチンポ好き過ぎの僕の彼女 五芭,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/1hbad728/1hbad728pl.jpg,https://onejav.com/torrent/hbad728/download/46213035/onejav.com_hbad728.torrent,"BIGセール, Solowork",五芭,2026-03-05,https://onejav.com/torrent/hbad728
MDBK405,思春期の女子校生は男の匂いが大好き！！ムラムラ発情を全身ペロペロ即尺で解消するビッチJ系,6.3 GB,https://pics.dmm.co.jp/mono/movie/adult/mdbk405/mdbk405pl.jpg,https://onejav.com/torrent/mdbk405/download/82121771/onejav.com_mdbk405.torrent,"Blow, School Girls, Slut, Uniform","五芭, 黒島玲衣, 北岡果林",2026-02-07,https://onejav.com/torrent/mdbk405
VEC760,僕の前では清楚な妻が隣人の中出し肉便器になっていた 五芭,4.5 GB,https://pics.dmm.co.jp/mono/movie/adult/vec760/vec760pl.jpg,https://onejav.com/torrent/vec760/download/38795762/onejav.com_vec760.torrent,"Creampie, Cuckold, Married Woman, Mature Woman, Nasty, Hardcore, Solowork",五芭,2026-02-06,https://onejav.com/torrent/vec760
UMD989,潜入！！噂のリンパマッサージ店 22「裏オプション、いかがなさいますか？」,5.1 GB,https://pics.dmm.co.jp/mono/movie/adult/125umd989/125umd989pl.jpg,https://onejav.com/torrent/umd989/download/01165843/onejav.com_umd989.torrent,"Big Tits, Huge Butt, Massage","五芭, 沙月ふみの, 七原さゆ",2026-01-07,https://onejav.com/torrent/umd989
NTRH017,奥さんをヤリチン男に寝取られたボクはどうせなら目の前で寝取ってくれとお願いして愛する妻がデカマラ中出しされる姿を見ながらシコりました。 五芭,6.5 GB,https://pics.dmm.co.jp/mono/movie/adult/ntrh017/ntrh017pl.jpg,https://onejav.com/torrent/ntrh017/download/80387982/onejav.com_ntrh017.torrent,"Creampie, Cuckold, Married Woman, Nasty, Hardcore, Slender, Solowork",五芭,2025-12-26,https://onejav.com/torrent/ntrh017
HZGD325,,5.9 GB,https://pics.dmm.co.jp/mono/movie/adult/h_1100hzgd325r/h_1100hzgd325rpl.jpg,https://onejav.com/torrent/hzgd325/download/53450350/onejav.com_hzgd325.torrent,"Creampie, Cuckold, Drama, Married Woman, Massage, Slender, Solowork",五芭,2025-12-07,https://onejav.com/torrent/hzgd325
DOKS657,ハーレム精飲車両 ごっくん大好き痴女のザーメン狩り,5.5 GB,https://pics.dmm.co.jp/mono/movie/adult/h_139doks657/h_139doks657pl.jpg,https://onejav.com/torrent/doks657/download/57966449/onejav.com_doks657.torrent,"Creampie, Cum, Harem, M男, Slut","岬さくら, 五芭, 白石もも, 甘井くるみ, 小那海あや",2025-12-02,https://onejav.com/torrent/doks657
