code,title,image_url,page_url,views,date_scraped
NKKD-295-RM,"The Boss's Wife And The Subordinate's Big Cock The Boss's Wife Who Was Melted By The Thick, Long And Hard Big Cocks Of Her Husband's Young Subordinates Miki Yoshii [Uncensored L**ked]",https://pic.javct.net/poster/20230908/1694150218.jpg,https://javct.net/v/nkkd-295-rm,140,2026-04-30
FC2PPV-4889371,"[No] Without telling her husband, a beautiful wife with big breasts and a big ass has sex with a big black dick, raw NTR, and squirts! SEX",https://pic.javct.net/poster/04112026/c0c113358a.jpg,https://javct.net/v/fc2ppv-4889371,62,2026-04-30
MDVHJ-089-RM,Mothers-in-law Who Are Captivated By Unfaithful Intercourse With Their Husband's Stepc**ld's Big Cock... (4) [Uncensored L**ked],https://pic.javct.net/poster/20230908/1695787016.jpg,https://javct.net/v/mdvhj-089-rm,180,2026-04-30
ATID-485-SUB,Female Detective Eri Takigawa Fell Into A BBP Big Black Penis [English Subtitle],https://pic.javct.net/poster/20212709/1635500963.jpg,https://javct.net/v/atid-485-sub,116,2026-04-30
CLUB-666-RM,"I Was Watching AV Videos With The Sound Turned Way Up And Then The Beautiful Married Woman From Next Door Came Over To Complain, So When I Showed Her My Rock Hard Cock She Started Getting Horny And So We Let Her Husband Stay Home And Listen To Her Practice Her Orgasmic Voice 7 [Uncensored L**ked]",https://pic.javct.net/poster/20212011/1643413183.jpg,https://javct.net/v/club-666-rm,232,2026-04-30
FC2PPV-4887363,"[No] Beautiful Nora-chan is violently fucked by a black man and a white man with big cocks in front of her boyfriend, and the NTR sweaty hardcore 3P with two consecutive cumshots at the end [Overseas version] Bonus included",https://pic.javct.net/poster/04112026/fb9d296607.jpg,https://javct.net/v/fc2ppv-4887363,41,2026-04-30
EMBM-017-RM,First Shooting Married Woman Kanon (27) [Uncensored L**ked],https://pic.javct.net/poster/20230908/1695181152.jpg,https://javct.net/v/embm-017-rm,133,2026-04-30
XVSR-213-RM,Realistic Sex Kanno Of Ko Sex Sayo Kanno Sayo [Uncensored L**ked],https://pic.javct.net/poster/06032026/1774504247.jpg,https://javct.net/v/xvsr-213-rm,120,2026-04-30
EKDV-814-RM,"My Virginity Was Taken By My C**ldhood Friend... My Fair-skinned, Big-breasted, Caring C**ldhood Friend, Ruka Itoi, Became My Sex Practice Partner When I Got My First Girlfriend. [Uncensored L**ked]",https://pic.javct.net/poster/04112026/1777048182.jpg,https://javct.net/v/ekdv-814-rm,150,2026-04-30
TCD-326,My Face Is Ruined By My Beloved Irama! Transgender Idol Oryo Rolls Her Eyes Back At The Sight Of A Huge Cock.,https://pic.javct.net/poster/04112026/48520e822a.jpg,https://javct.net/v/tcd-326,157,2026-04-30
FC2PPV-4887228,"For the first time, I use a big black cock to make a tight beauty with beautiful breasts and a big ass cum in an ekiben, and then I cum inside her and fuck her.",https://pic.javct.net/poster/04112026/f8c2b9520b2e.jpg,https://javct.net/v/fc2ppv-4887228,43,2026-04-30
KSBJ-265-RM,Sarina Momunaga Is Fascinated By Her Brother-in-law's Big Cock [Uncensored L**ked],https://pic.javct.net/poster/20230908/1696046282.jpg,https://javct.net/v/ksbj-265-rm,120,2026-04-30
EKDV-814,"My Virginity Was Taken By My C**ldhood Friend... My Fair-skinned, Big-breasted, Caring C**ldhood Friend, Ruka Itoi, Became My Sex Practice Partner When I Got My First Girlfriend.",https://pic.javct.net/poster/04112026/1777048182.jpg,https://javct.net/v/ekdv-814,150,2026-04-30
HUNTA-783,"""Is It Okay If My Big Brother's Big Mouth Is Inserted?"" My Sister's Friend Came Over To Stay At Our House, And It's Really A Nighttime Night! ! My Sister's Friend Has A Night Out. First…",https://pic.javct.net/poster/04112026/1777007073.jpg,https://javct.net/v/hunta-783,240,2026-04-30
MIDE-310-SUB,Slurp Vacuum Blow Hatsukawa South [English Subtitle],https://pic.javct.net/poster/06032026/1773573296.jpg,https://javct.net/v/mide-310-sub,120,2026-04-30
JUNY-152-SUB,"Black Man Ban Lifted!! Black Big Cock Artist NTR Voluptuous Busty Wife Reika Takeda, Whose Body And Soul Are Stolen By The Shocking Big Cock Reflected In The Light [English Subtitle]",https://pic.javct.net/poster/20250903/1744305621.jpg,https://javct.net/v/juny-152-sub,130,2026-04-30
CEMD-237-RM,Scream! Faint In Agony! Portio Development! Woman Iku In The Back Of The Womb 7 Akari Minase [Uncensored L**ked],https://pic.javct.net/poster/20222109/1663993888.jpg,https://javct.net/v/cemd-237-rm,133,2026-04-30
CLUB-831-RM,"Even Though My Husband Is Next To Me, I... I... An Unscrupulous Bridal Esthetician Who Only Targets Newlyweds And Seduces The New Wife 70 Cm Next To Her Husband. An Immoral Massage NTR. An Unfaithful Wife Who Learns The Pleasure Of Experiencing Life For The First Time Through Unwanted Sex And Demands A Creampie. [Uncensored L**ked]",https://pic.javct.net/poster/20241902/1709261418.jpg,https://javct.net/v/club-831-rm,210,2026-04-30
FC2PPV-4885285,"[No] Women's Body Sharing Chapter 14, A beautiful woman with a long black hair cut is given a brutal instant blowjob, turned into a meat urinal in 3P, climax acme, skewered FUCK, creampie & ejaculation in the mouth [Overseas version] Bonus included",https://pic.javct.net/poster/04112026/1776824007.jpg,https://javct.net/v/fc2ppv-4885285,59,2026-04-30
FC2PPV-4884775,"Mayu, a really cute and beautiful girl with beautiful breasts and a nice ass, has sex with a big black cock in reverse missionary position for the first time and has sex with her raw creampie",https://pic.javct.net/poster/04112026/1776733889.jpg,https://javct.net/v/fc2ppv-4884775,35,2026-04-30
DVMM-379,"Magic Mirror Delivery: A Refined And Elegant Beauty Consultant Working At A Top-class Department Store - Her First Ever Deep Throat Vacuum No-hands Fellatio, Vol. 06 - Face Revealed! 12 Ejaculations In Total! All 6 Girls Have Sex In This Special! An Elegant Lady Wholeheartedly Sucks Every Last Drop Of Dick In This Divine Fellatio Sex.",https://pic.javct.net/poster/04112026/1776728924.jpg,https://javct.net/v/dvmm-379,260,2026-04-30
